REQUESTID,MEMBERID,REQUESTDATE,APPROVALSTATUS,APPROVALDATE,OWNERID
1,1,2024-05-13,Pending,,1
2,2,2024-05-13,Pending,,1
3,3,2024-05-13,Pending,,2
4,4,2024-05-13,Pending,,2
5,5,2024-05-13,Pending,,4
6,6,2024-05-13,Pending,,4
7,7,2024-05-13,Pending,,4
8,8,2024-05-13,Pending,,4
9,9,2024-05-13,Pending,,4
10,10,2024-05-13,Pending,,4
11,11,2024-05-13,Pending,,4
12,12,2024-05-13,Pending,,4
13,13,2024-05-13,Pending,,1
14,14,2024-05-13,Pending,,1
15,15,2024-05-13,Pending,,2
16,16,2024-05-13,Pending,,2
17,17,2024-05-13,Pending,,4
18,18,2024-05-13,Pending,,4
19,19,2024-05-13,Pending,,4
20,20,2024-05-13,Pending,,4
