PLANID,TRAINERID,PLANNAME,PLANDESCRIPTION,CREATIONDATE
1,61,Full Body Workout,A full body workout plan for beginners,2023-03-01
2,62,Upper Body Workout,An upper body workout plan for intermediate level,2023-03-02
3,63,Lower Body Workout,A lower body workout plan for advanced level,2023-03-03
4,64,Core Workout,A core workout plan for beginners,2023-03-04
5,65,Cardio Workout,A cardio workout plan for intermediate level,2023-03-05
6,66,Yoga Workout,A yoga workout plan for advanced level,2023-03-06
7,67,Pilates Workout,A pilates workout plan for beginners,2023-03-07
8,68,Strength Training,A strength training workout plan for intermediate level,2023-03-08
9,69,HIIT Workout,A HIIT workout plan for advanced level,2023-03-09
10,70,Bodybuilding Workout,A bodybuilding workout plan for beginners,2023-03-10
11,41,Powerlifting Workout,A powerlifting workout plan for intermediate level,2023-03-11
12,42,Crossfit Workout,A crossfit workout plan for advanced level,2023-03-12
13,43,Endurance Workout,An endurance workout plan for beginners,2023-03-13
14,44,Flexibility Workout,A flexibility workout plan for intermediate level,2023-03-14
15,45,Balance Workout,A balance workout plan for advanced level,2023-03-15
16,46, Agility Workout,An agility workout plan for beginners,2023-03-16
17,47,Speed Workout,A speed workout plan for intermediate level,2023-03-17
18,48,Plyometric Workout,A plyometric workout plan for advanced level,2023-03-18
19,49,Kettlebell Workout,A kettlebell workout plan for beginners,2023-03-19
20,50,Resistance Band Workout,A resistance band workout plan for intermediate level,2023-03-20
